Education,Marital_Status,Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Dependants,Age
Graduation,Married,7500.0,0,0,0,2,3,4,1,5,0,27
2n Cycle,Together,38683.0,1,0,46,35,69,84,41,66,1,25
2n Cycle,Single,49514.0,1,0,88,39,78,58,13,93,1,39
PhD,Together,57906.0,0,1,243,11,119,10,3,15,1,41
Master,Single,43456.0,0,1,275,11,68,25,7,7,1,48
Master,Single,19485.0,2,0,6,0,4,0,0,0,2,28
Graduation,Together,53172.0,0,1,121,62,90,68,20,125,1,36
Graduation,Together,30545.0,1,0,4,12,15,19,7,12,1,35
PhD,Together,70123.0,0,0,1308,0,396,23,0,0,0,31
Graduation,Single,62450.0,0,1,515,47,267,62,66,38,1,55
Graduation,Together,21675.0,1,0,4,0,16,17,4,4,1,38
2n Cycle,Single,42395.0,1,1,48,13,57,24,15,25,2,33
Master,Together,61346.0,1,0,562,58,168,43,16,142,1,36
Graduation,Together,80812.0,0,0,769,22,500,210,143,33,0,61
Master,Divorced,42835.0,1,1,379,4,93,12,9,98,2,43
Graduation,Married,39922.0,1,0,29,12,59,19,1,36,1,31
Master,Single,86424.0,0,0,387,68,569,89,45,68,0,58
2n Cycle,Together,17117.0,1,0,12,23,38,30,18,7,1,36
Graduation,Single,24762.0,1,0,6,10,12,3,15,40,1,42
Graduation,Married,35797.0,0,1,27,1,14,4,1,21,1,39
Graduation,Divorced,36627.0,2,0,9,1,5,0,0,1,2,39
2n Cycle,Married,51111.0,1,1,22,0,19,6,5,3,2,33
PhD,Single,86857.0,0,0,899,102,838,133,102,40,0,42
PhD,Together,82072.0,0,0,889,55,685,168,92,129,0,44
PhD,Single,46231.0,2,1,189,2,55,0,5,12,3,61
Graduation,Married,42243.0,1,1,48,0,2,0,0,5,2,55
Graduation,Together,51195.0,1,1,230,14,156,82,24,58,2,52
Master,Single,68092.0,0,0,852,60,207,78,36,48,0,36
Graduation,Married,31814.0,1,0,35,3,20,4,1,20,1,41
Master,Widow,51390.0,1,1,205,20,47,23,2,56,2,49
Graduation,Married,76630.0,0,0,255,31,446,40,56,175,0,31
Basic,Single,26868.0,1,0,0,0,1,8,3,2,1,23
PhD,Divorced,48948.0,0,0,437,8,206,160,49,42,0,71
PhD,Single,55260.0,0,1,825,8,53,11,0,242,1,42
Graduation,Together,64090.0,0,1,316,58,161,76,51,135,1,58
Graduation,Divorced,78331.0,0,1,756,138,354,160,169,61,1,56
PhD,Married,37087.0,1,0,194,55,134,15,0,3,1,40
Graduation,Divorced,21846.0,1,0,7,17,18,6,10,26,1,28
Graduation,Married,81320.0,0,0,183,33,493,59,103,57,0,56
Graduation,Divorced,54137.0,0,1,171,0,11,0,1,20,1,44
Graduation,Together,66825.0,0,0,243,101,405,29,40,40,0,47
Graduation,Together,57100.0,0,0,181,21,69,39,3,96,0,41
Graduation,Together,58917.0,1,2,151,7,89,0,7,28,3,45
Graduation,Single,85072.0,0,0,494,92,391,194,11,241,0,37
Graduation,Single,86429.0,0,0,464,28,873,29,18,37,0,53
Graduation,Widow,45684.0,1,0,5,1,5,10,0,7,1,43
Graduation,Together,47889.0,1,0,29,0,29,0,5,4,1,40
PhD,Married,45921.0,0,0,102,9,49,24,3,12,0,28
PhD,Single,78420.0,0,0,604,28,674,91,28,28,0,48
Graduation,Together,75114.0,0,0,571,12,523,63,60,24,0,22
PhD,Widow,52278.0,0,1,953,0,71,0,0,174,1,51
Master,Married,35641.0,1,0,63,3,67,8,9,28,1,42
Graduation,Single,95529.0,0,0,770,29,890,250,27,24,0,20
Graduation,Married,62820.0,0,0,398,61,265,138,61,53,0,60
Master,Together,73113.0,0,0,741,19,154,50,9,28,0,54
PhD,Married,84169.0,0,0,1478,19,403,0,19,0,0,32
2n Cycle,Single,42607.0,0,1,156,29,56,30,32,47,1,60
PhD,Single,74637.0,0,0,960,64,464,146,0,16,0,60
PhD,Together,46015.0,1,1,38,0,2,0,0,6,2,59
Graduation,Single,72354.0,0,0,315,26,473,220,12,182,0,21
Master,Single,39858.0,1,0,15,20,25,2,7,26,1,45
PhD,Married,34469.0,1,1,19,6,20,0,5,12,2,66
Graduation,Together,83033.0,1,0,812,99,431,237,149,33,1,28
Master,Together,24401.0,0,0,73,28,217,10,24,115,0,35
Graduation,Married,77583.0,0,0,372,23,384,250,12,108,0,36
2n Cycle,Single,74116.0,0,0,871,111,704,145,55,166,0,32
Graduation,Single,74293.0,0,0,375,152,335,93,91,81,0,21
PhD,Married,68397.0,0,1,760,80,466,17,13,80,1,38
PhD,Together,79632.0,0,0,471,0,510,99,21,12,0,40
Graduation,Single,46107.0,1,0,31,9,27,16,9,33,1,25
PhD,Single,64950.0,0,1,819,0,72,12,0,63,1,63
Basic,Married,25443.0,1,0,1,4,3,8,9,7,1,25
Graduation,Single,75127.0,0,0,203,35,305,46,17,227,0,62
PhD,Together,32892.0,1,0,26,0,15,2,1,2,1,43
Graduation,Together,71796.0,0,0,354,21,311,167,75,32,0,43
PhD,Married,67536.0,0,1,1253,0,447,23,71,35,1,44
Graduation,Single,55239.0,0,1,371,17,238,23,24,106,1,43
PhD,Divorced,60554.0,1,0,588,7,76,110,15,15,1,39
2n Cycle,Single,64831.0,1,1,480,86,249,75,86,144,2,62
PhD,Together,56067.0,0,1,517,12,54,16,6,120,1,52
Graduation,Divorced,82025.0,0,0,267,98,606,48,70,98,0,31
Graduation,Together,94384.0,0,0,1111,24,790,160,45,172,0,61
Basic,Single,14906.0,0,0,7,7,14,7,16,15,0,28
PhD,Married,51563.0,0,0,1166,0,48,0,0,36,0,27
2n Cycle,Married,57937.0,0,1,261,42,144,55,48,133,1,32
Graduation,Divorced,68274.0,1,1,135,25,51,23,25,46,2,35
Graduation,Together,39771.0,1,0,6,2,18,2,8,14,1,37
2n Cycle,Divorced,67893.0,0,1,711,28,142,49,18,47,1,39
PhD,Together,27922.0,1,0,11,0,13,2,4,11,1,35
PhD,Together,52190.0,1,1,42,0,17,0,0,18,2,38
Master,Divorced,44051.0,1,1,79,7,58,6,3,18,2,41
PhD,Single,42767.0,2,0,20,6,43,19,5,38,2,43
Master,Together,46106.0,1,1,30,0,8,2,0,14,2,38
PhD,Married,16927.0,1,1,20,2,23,3,1,4,2,38
Graduation,Married,59754.0,0,1,115,27,44,4,146,139,1,49
Graduation,Single,53700.0,0,1,263,5,233,69,41,83,1,62
Graduation,Married,59041.0,1,1,69,2,15,2,2,6,2,41
PhD,Divorced,54237.0,0,1,267,3,30,4,0,57,1,57
Graduation,Divorced,70647.0,0,1,561,85,171,25,123,114,1,47
PhD,Single,52597.0,0,1,492,0,37,7,0,42,1,52
Master,Together,41021.0,1,0,14,7,9,6,16,12,1,45
PhD,Married,40233.0,0,1,80,4,46,0,17,2,1,39
Graduation,Married,50183.0,1,1,97,12,84,13,10,15,2,34
Graduation,Together,54753.0,0,1,197,107,227,7,59,131,1,55
Graduation,Married,92955.0,0,0,693,21,925,31,24,84,0,41
Graduation,Married,33471.0,1,0,43,2,27,0,9,12,1,41
PhD,Married,34596.0,1,0,14,0,2,0,0,7,1,40
Graduation,Together,44010.0,1,0,186,36,234,86,72,48,1,34
Graduation,Married,84219.0,0,0,434,137,400,45,137,45,0,26
PhD,Together,40706.0,2,1,59,0,11,4,2,5,3,46
2n Cycle,Married,15716.0,1,0,16,5,30,8,7,26,1,26
2n Cycle,Divorced,59052.0,0,1,230,35,75,63,57,31,1,55
Master,Together,80573.0,0,0,829,138,430,60,92,15,0,43
Graduation,Married,83715.0,0,0,318,8,407,150,35,8,0,52
Master,Together,82576.0,0,0,1206,55,445,168,18,18,0,55
Master,Married,56962.0,2,1,292,3,77,10,3,26,3,49
Graduation,Married,35704.0,1,1,30,9,12,2,11,30,2,62
Graduation,Together,53103.0,0,1,729,17,133,11,0,195,1,60
2n Cycle,Widow,46779.0,1,1,12,1,3,0,0,7,2,54
Graduation,Divorced,4861.0,0,0,2,1,1,1,0,1,0,49
Master,Divorced,33462.0,1,0,22,3,18,0,0,11,1,35
Graduation,Divorced,63693.0,0,1,587,43,337,42,87,54,1,36
Graduation,Married,80763.0,0,0,674,168,108,192,42,231,0,64
PhD,Married,65352.0,0,1,284,3,84,4,7,23,1,40
PhD,Married,82170.0,0,0,1023,93,651,49,55,37,0,36
Graduation,Married,75759.0,0,0,1394,22,708,89,91,182,0,45
2n Cycle,Single,79689.0,0,0,311,26,640,180,37,121,0,38
PhD,Widow,35340.0,1,1,27,0,12,0,1,5,2,58
Graduation,Divorced,85683.0,0,0,1296,17,311,45,69,51,0,60
2n Cycle,Married,24884.0,1,0,3,6,7,0,0,3,1,42
Master,Together,42021.0,1,0,393,5,136,7,5,27,1,33
Graduation,Single,64449.0,1,0,218,63,282,137,35,70,1,25
Graduation,Divorced,64587.0,1,1,66,0,16,0,6,20,2,60
Graduation,Single,34824.0,0,0,4,2,11,2,0,4,0,19
Graduation,Together,75437.0,0,0,795,0,545,95,58,0,0,36
Graduation,Together,26091.0,1,1,15,10,19,8,17,20,2,57
Graduation,Married,52845.0,1,0,384,25,292,130,41,64,1,41
Graduation,Divorced,46086.0,0,1,244,8,32,7,2,50,1,58
PhD,Widow,78028.0,0,1,158,19,288,25,0,38,1,58
PhD,Single,95169.0,0,0,1285,21,449,106,20,20,0,27
2n Cycle,Married,56337.0,1,1,349,16,144,28,5,182,2,33
Graduation,Together,22434.0,1,0,4,12,11,3,13,15,1,27
PhD,Married,36930.0,0,1,223,2,31,0,2,39,1,60
Graduation,Single,36130.0,0,1,157,43,127,68,56,37,1,60
Master,Married,65569.0,0,1,397,46,288,20,38,70,1,61
Graduation,Together,83844.0,0,0,901,31,345,75,31,191,0,62
Graduation,Married,19514.0,1,1,14,3,21,2,1,28,2,46
PhD,Single,36736.0,1,1,10,0,3,0,0,4,2,51
Graduation,Together,77568.0,0,1,1230,0,396,232,178,158,1,35
PhD,Together,49187.0,0,1,81,1,31,2,1,0,1,38
Graduation,Single,30168.0,1,0,154,20,66,0,12,27,1,36
Master,Together,34053.0,0,1,63,0,21,7,0,12,1,46
Master,Married,38196.0,1,1,30,0,11,0,0,3,2,43
Master,Married,59412.0,0,0,90,67,165,30,43,11,0,63
2n Cycle,Married,70924.0,0,0,635,114,254,132,152,76,0,49
Graduation,Together,54165.0,0,0,127,4,73,15,6,11,0,45
Graduation,Married,32300.0,1,0,13,3,6,6,5,6,1,41
Graduation,Single,20180.0,0,0,18,42,24,15,20,18,0,38
Graduation,Married,34961.0,1,0,45,2,26,4,1,1,1,41
PhD,Together,28440.0,1,0,38,1,24,0,0,0,1,40
PhD,Together,64504.0,1,2,986,36,168,16,0,108,3,61
Master,Together,33564.0,0,1,61,0,3,0,0,7,1,48
Graduation,Married,17345.0,1,0,4,9,16,17,0,12,1,36
PhD,Married,56320.0,0,1,201,53,172,116,77,83,1,47
Graduation,Single,28647.0,1,0,19,8,29,0,12,26,1,36
Basic,Single,15038.0,1,0,4,8,11,19,12,26,1,27
PhD,Divorced,32173.0,0,1,18,0,2,0,0,2,1,56
2n Cycle,Together,68316.0,0,1,806,80,161,120,11,33,1,50
Graduation,Together,74538.0,0,0,380,98,733,110,112,28,0,43
Graduation,Single,91700.0,0,0,576,172,961,125,115,19,0,43
Graduation,Together,68695.0,0,0,458,81,356,106,50,40,0,45
2n Cycle,Married,31056.0,1,0,5,10,13,3,8,16,1,37
Graduation,Married,79593.0,0,0,350,60,568,110,133,145,0,41
Graduation,Single,28071.0,0,0,39,33,130,41,26,44,0,34
PhD,Together,37334.0,1,1,26,1,16,2,2,15,2,56
Master,Single,46423.0,1,1,68,0,16,0,0,8,2,42
PhD,Married,37126.0,1,0,45,3,9,4,4,7,1,43
Graduation,Married,47703.0,0,1,359,0,134,13,26,123,1,61
Graduation,Married,61180.0,0,1,403,24,29,6,24,218,1,55
Graduation,Married,38998.0,1,1,34,1,14,0,0,5,2,60
Graduation,Single,8028.0,0,0,73,18,66,7,12,2,0,23
Graduation,Together,76081.0,0,0,292,30,415,63,33,200,0,52
Graduation,Together,34728.0,1,0,14,0,16,0,0,6,1,28
Master,Single,33168.0,0,1,80,1,37,0,1,3,1,49
Master,Married,33585.0,0,1,30,11,33,13,6,29,1,48
PhD,Married,77037.0,0,1,463,96,333,168,53,10,1,54
Graduation,Together,35196.0,1,0,75,12,141,43,39,187,1,30
Graduation,Married,44529.0,0,1,538,13,91,17,6,26,1,48
2n Cycle,Married,70924.0,0,0,635,114,254,132,152,76,0,49
PhD,Together,28764.0,1,1,8,0,3,0,0,1,2,48
PhD,Married,69098.0,0,0,1315,22,780,145,0,178,0,65
2n Cycle,Divorced,25959.0,1,1,4,2,12,7,5,26,2,44
Master,Married,27100.0,1,0,12,0,13,2,0,10,1,31
Graduation,Single,70596.0,0,0,347,44,534,17,0,26,0,29
Graduation,Married,42557.0,0,1,192,5,53,0,5,15,1,40
PhD,Married,53312.0,0,0,241,0,12,0,0,25,0,63
Graduation,Single,72228.0,0,0,631,28,491,30,14,56,0,62
Graduation,Together,67605.0,0,0,336,28,282,184,54,54,0,27
Master,Married,62845.0,1,1,1099,0,45,0,0,34,2,65
Graduation,Together,65196.0,0,2,743,19,181,12,0,200,2,56
PhD,Single,42000.0,0,0,124,83,267,85,59,35,0,27
PhD,Divorced,35860.0,1,1,15,0,8,4,2,20,2,41
PhD,Married,65526.0,0,1,397,19,69,12,0,9,1,50
Graduation,Married,16860.0,1,1,10,4,4,3,3,14,2,53
Graduation,Single,83528.0,0,0,530,117,678,134,44,147,0,22
2n Cycle,Divorced,64176.0,0,1,1215,33,249,64,116,149,1,49
Graduation,Divorced,22304.0,0,0,3,2,7,0,4,2,0,58
Graduation,Married,67023.0,0,0,444,44,382,11,8,17,0,36
PhD,Together,32892.0,1,0,26,0,15,2,1,2,1,43
Graduation,Together,70713.0,0,1,736,114,279,82,76,190,1,48
Graduation,Together,59925.0,0,1,473,21,176,19,21,56,1,59
Graduation,Married,39722.0,0,1,32,0,5,2,0,8,1,61
Graduation,Together,46610.0,0,0,288,10,30,4,10,125,0,56
Graduation,Together,88347.0,0,0,1050,178,555,77,138,118,0,53
PhD,Married,87171.0,0,0,1001,44,107,58,44,44,0,33
2n Cycle,Together,26907.0,1,1,9,1,7,0,3,2,2,38
Master,Single,50014.0,1,0,234,14,77,19,10,42,1,46
PhD,Married,41014.0,1,0,7,2,6,2,0,3,1,36
Graduation,Single,66294.0,0,0,251,108,334,65,92,117,0,49
Graduation,Married,36715.0,1,0,172,10,125,21,13,16,1,43
Graduation,Married,79456.0,0,0,565,42,548,64,83,99,0,58
Graduation,Together,40479.0,1,0,5,0,8,2,0,0,1,32
Master,Single,75345.0,0,0,918,57,842,99,38,133,0,44
Graduation,Married,54233.0,0,1,652,8,158,21,0,142,1,37
Graduation,Single,24163.0,1,1,4,1,7,2,1,2,2,44
PhD,Together,84460.0,0,0,152,27,103,106,54,81,0,56
Graduation,Together,43776.0,1,0,8,0,9,2,1,3,1,31
PhD,Single,71691.0,0,0,336,130,411,240,32,43,0,56
PhD,Married,85844.0,0,0,938,19,843,25,95,38,0,41
PhD,Single,39190.0,1,0,68,8,18,19,8,12,1,40
Graduation,Together,71367.0,0,0,227,23,389,42,21,75,0,55
PhD,Single,38578.0,1,1,38,4,22,3,3,3,2,42
PhD,Married,57236.0,1,1,105,0,9,2,1,4,2,49
Graduation,Single,61825.0,0,1,162,50,100,55,30,27,1,35
Graduation,Divorced,79803.0,0,1,574,8,216,21,16,33,1,56
2n Cycle,Single,80910.0,0,0,160,80,369,67,39,41,0,28
Master,Together,27590.0,1,0,6,0,5,0,0,1,1,32
Graduation,Married,56775.0,0,1,614,35,160,58,35,35,1,35
Graduation,Divorced,83829.0,0,0,897,161,430,186,161,27,0,39
2n Cycle,Married,54210.0,0,1,70,54,109,80,9,45,1,35
Graduation,Married,38508.0,1,0,120,19,206,25,19,54,1,28
Graduation,Together,53187.0,1,0,211,2,30,7,7,10,1,44
Graduation,Married,30023.0,1,0,11,0,16,7,6,21,1,42
PhD,Single,76045.0,0,0,760,53,400,17,93,0,0,54
PhD,Married,50870.0,0,1,53,0,8,0,0,2,1,62
2n Cycle,Married,15315.0,0,0,7,4,13,15,8,17,0,44
2n Cycle,Married,65463.0,1,0,391,32,70,21,32,16,1,40
Graduation,Married,66480.0,1,1,199,9,57,20,21,6,2,49
Graduation,Divorced,76773.0,0,0,516,56,449,86,33,16,0,60
2n Cycle,Single,81698.0,0,0,709,45,115,30,160,45,0,31
PhD,Single,54466.0,1,1,12,0,4,0,0,0,2,41
Master,Single,98777.0,0,0,1000,19,711,125,115,38,0,54
PhD,Single,16269.0,1,0,19,3,18,3,1,0,1,30
Graduation,Together,71819.0,0,1,1224,28,140,0,14,168,1,43
PhD,Married,33569.0,1,0,16,2,18,3,0,24,1,31
Master,Married,36262.0,0,0,88,39,54,64,28,153,0,31
Basic,Together,22634.0,0,0,2,23,11,8,6,46,0,48
2n Cycle,Married,47025.0,0,1,508,11,59,23,5,29,1,36
Graduation,Single,70566.0,0,1,381,28,215,84,28,21,1,46
PhD,Married,31605.0,1,0,74,0,42,2,1,6,1,35
Master,Divorced,52034.0,1,1,146,0,93,7,13,73,2,41
Graduation,Single,48526.0,1,0,23,17,23,43,20,9,1,35
Graduation,Married,46734.0,0,1,110,5,137,26,23,29,1,60
Graduation,Divorced,39552.0,1,1,165,3,147,4,24,41,2,52
Graduation,Single,86358.0,1,1,957,47,494,82,47,95,2,48
Graduation,Together,46931.0,2,1,41,0,17,3,1,16,3,37
Basic,Single,16581.0,0,0,1,3,4,2,3,11,0,29
2n Cycle,Divorced,63998.0,0,0,176,29,818,0,33,112,0,62
Master,Married,67381.0,0,1,815,8,53,11,0,70,1,63
Graduation,Single,25930.0,1,1,6,1,2,2,0,4,2,47
Graduation,Married,42693.0,1,0,8,4,20,6,3,16,1,36
Graduation,Together,85606.0,0,1,717,42,864,219,30,84,1,38
Graduation,Single,72903.0,0,0,1067,138,750,0,19,39,0,29
2n Cycle,Together,49669.0,1,0,166,5,107,11,8,29,1,40
PhD,Married,36778.0,1,1,29,4,34,2,4,4,2,46
PhD,Divorced,85696.0,0,0,714,76,395,116,0,12,0,52
Master,Divorced,10979.0,0,0,8,4,10,2,2,4,0,25
Graduation,Married,49678.0,0,1,229,5,56,3,2,20,1,53
Master,Together,56129.0,0,1,320,48,133,39,72,48,1,61
Graduation,Married,37155.0,1,0,23,0,26,7,15,3,1,25
2n Cycle,Divorced,21282.0,1,0,1,5,8,4,8,20,1,36
PhD,Single,33419.0,0,1,56,0,12,0,0,18,1,52
Graduation,Widow,63285.0,0,0,508,124,249,50,38,134,0,69
Master,Together,21255.0,1,0,29,0,25,2,2,3,1,40
Graduation,Together,42162.0,1,0,46,7,59,2,4,27,1,33
Graduation,Together,54450.0,1,1,454,0,171,8,19,32,2,58
PhD,Married,57744.0,0,1,350,3,39,0,0,19,1,60
Graduation,Single,26576.0,1,0,10,0,8,0,0,9,1,28
PhD,Widow,57513.0,0,0,735,40,183,52,20,30,0,71
Graduation,Together,68142.0,0,1,897,126,196,91,112,37,1,50
Graduation,Married,7500.0,0,1,5,2,3,3,0,5,1,35
Graduation,Together,83145.0,0,0,777,35,731,39,137,114,0,40
Master,Married,54197.0,0,1,162,6,37,6,13,13,1,54
PhD,Single,23091.0,1,1,35,0,11,0,0,2,2,51
Graduation,Married,46049.0,1,1,342,9,112,19,14,19,2,38
Graduation,Together,56715.0,0,0,258,105,239,237,172,9,0,40
Graduation,Married,79410.0,0,0,658,80,483,123,13,13,0,53
Graduation,Married,57304.0,0,1,356,80,329,138,17,106,1,63
Graduation,Married,44375.0,0,1,213,5,28,7,7,41,1,49
Graduation,Together,54450.0,1,1,454,0,171,8,19,32,2,58
Graduation,Married,59594.0,0,1,457,4,29,0,0,9,1,49
Graduation,Together,80685.0,0,0,241,45,604,34,26,54,0,20
PhD,Married,40344.0,0,1,210,0,6,0,0,2,1,40
Graduation,Married,62710.0,0,1,441,35,83,7,29,11,1,42
2n Cycle,Married,48985.0,0,1,19,13,18,10,7,8,1,46
Graduation,Together,35322.0,1,2,28,9,37,12,7,13,3,46
Graduation,Married,77142.0,0,0,476,75,162,29,151,97,0,66
Graduation,Single,81657.0,0,0,364,40,425,158,60,50,0,45
Basic,Married,14421.0,0,0,0,0,2,3,3,8,0,18
2n Cycle,Married,20130.0,0,0,0,6,3,7,6,12,0,40
PhD,Married,74214.0,0,0,863,83,547,86,99,33,0,24
Master,Married,66726.0,1,1,349,7,35,0,0,47,2,57
Basic,Together,23724.0,1,0,5,23,15,0,18,14,1,35
Master,Married,47353.0,0,1,184,2,19,8,8,4,1,54
Master,Married,33444.0,1,1,8,0,8,0,0,2,2,62
Graduation,Married,54386.0,0,1,277,21,64,62,21,25,1,33
Graduation,Divorced,28510.0,1,1,44,5,19,0,4,19,2,33
Master,Single,90638.0,0,0,1156,120,915,94,144,96,0,23
Graduation,Together,48070.0,0,1,373,14,83,6,9,19,1,64
Graduation,Married,43140.0,0,1,134,8,76,6,0,11,1,57
PhD,Divorced,54959.0,0,1,1148,0,60,0,0,24,1,53
Basic,Single,15056.0,1,1,6,12,3,21,6,40,2,56
Graduation,Single,26954.0,1,0,4,1,11,0,0,1,1,43
Graduation,Single,22327.0,1,0,5,4,8,2,0,5,1,29
Graduation,Married,44393.0,1,1,24,2,20,2,2,10,2,49
PhD,Single,62000.0,0,1,899,0,101,0,0,20,1,62
PhD,Together,31497.0,0,1,108,1,28,13,1,4,1,52
2n Cycle,Married,45894.0,0,2,27,2,7,0,2,13,2,40
Master,Divorced,78579.0,0,0,816,66,549,216,66,99,0,44
Master,Widow,67369.0,0,1,1298,0,70,37,14,42,1,45
Graduation,Divorced,58401.0,0,1,10,0,11,17,29,29,1,54
Graduation,Single,62307.0,0,1,87,13,34,10,6,10,1,62
Master,Married,43641.0,1,1,57,2,51,4,2,23,2,45
Master,Divorced,63841.0,0,1,635,15,100,20,7,131,1,46
2n Cycle,Married,46891.0,0,1,43,12,23,29,15,61,1,49
Master,Married,70091.0,1,0,964,34,137,15,0,11,1,45
PhD,Married,78075.0,0,0,572,8,259,34,35,80,0,42
2n Cycle,Widow,59184.0,0,1,341,142,113,259,151,66,1,53
Graduation,Married,54809.0,1,1,63,6,57,13,13,22,2,37
Graduation,Married,58113.0,0,1,221,104,169,102,78,84,1,55
Master,Married,51412.0,0,1,140,3,29,4,5,14,1,56
Graduation,Divorced,15287.0,1,0,1,2,8,4,3,13,1,35
Master,Together,66636.0,0,0,291,10,689,84,10,0,0,57
Master,Married,50965.0,0,1,544,13,85,8,6,29,1,58
PhD,Married,84618.0,0,0,684,100,801,21,66,0,0,49
Graduation,Married,18351.0,0,0,1,12,9,0,14,7,0,24
PhD,Together,40451.0,0,2,35,0,4,0,0,10,2,57
Graduation,Together,36317.0,0,1,87,3,25,3,2,13,1,49
Graduation,Together,42213.0,0,1,309,3,24,4,3,20,1,57
Graduation,Together,65748.0,0,1,172,73,93,95,78,34,1,59
Graduation,Together,77044.0,0,1,625,38,242,50,34,76,1,42
Graduation,Together,74918.0,0,0,972,59,913,25,19,59,0,45
Graduation,Married,56721.0,1,1,157,6,39,6,13,75,2,42
Graduation,Single,42160.0,1,1,48,9,45,3,15,20,2,39
Graduation,Single,61559.0,0,1,279,83,88,32,14,34,1,49
PhD,Together,33629.0,1,1,132,0,16,0,0,4,2,51
PhD,Together,68682.0,0,0,919,0,505,99,30,45,0,23
Graduation,Single,34377.0,0,1,62,0,22,3,1,26,1,51
Basic,Single,8940.0,1,0,1,45,3,4,6,42,1,28
Graduation,Married,26228.0,1,0,2,6,4,3,1,9,1,41
2n Cycle,Divorced,77297.0,0,0,408,61,109,48,122,41,0,57
Graduation,Married,40211.0,1,1,51,1,7,2,1,25,2,33
PhD,Widow,33438.0,1,1,62,1,16,3,2,6,2,56
PhD,Married,75032.0,0,1,952,12,180,47,12,12,1,55
PhD,Single,61284.0,0,0,618,15,106,20,7,45,0,59
Graduation,Married,22518.0,1,0,11,7,12,2,2,27,1,28
Master,Married,54730.0,0,1,318,3,17,4,7,56,1,39
Master,Married,38452.0,1,1,56,0,14,0,0,2,2,59
Graduation,Divorced,44421.0,1,1,110,5,59,7,1,7,2,43
PhD,Together,38197.0,1,0,23,0,11,2,1,3,1,28
Graduation,Divorced,41986.0,0,1,27,5,8,8,3,12,1,36
Graduation,Together,28427.0,1,0,18,3,19,3,3,6,1,31
PhD,Together,37395.0,1,0,18,0,9,0,1,11,1,38
Graduation,Married,64722.0,1,0,303,0,280,60,147,15,1,43
Master,Together,55249.0,0,1,97,1,19,2,0,11,1,58
Graduation,Together,84906.0,0,0,997,15,414,99,30,76,0,42
Graduation,Married,28691.0,1,0,5,4,13,8,0,4,1,25
Graduation,Single,44213.0,1,1,95,11,35,0,4,7,2,62
Basic,Single,25707.0,1,0,1,6,2,3,6,3,1,30
PhD,Married,59062.0,2,1,46,1,12,3,0,9,3,47
Graduation,Single,76624.0,0,1,411,106,147,54,115,66,1,52
Master,Together,66000.0,0,0,244,51,270,101,0,45,0,67
PhD,Together,27683.0,1,0,152,9,121,12,12,45,1,36
Graduation,Divorced,1730.0,0,0,1,1,3,1,1,1,0,43
Basic,Single,7500.0,1,0,10,17,18,8,26,40,1,22
Graduation,Together,40521.0,1,1,12,0,5,0,0,4,2,46
PhD,Together,20427.0,1,0,5,0,4,0,0,1,1,41
Graduation,Married,65106.0,0,1,790,19,133,12,0,19,1,39
PhD,Married,69969.0,0,0,882,29,514,38,29,44,0,49
Graduation,Married,67433.0,0,2,615,28,259,12,48,30,2,62
PhD,Married,77766.0,0,1,1004,59,265,115,59,27,1,47
Graduation,Married,74716.0,0,1,133,27,421,13,195,71,1,42
Graduation,Divorced,68118.0,0,1,595,23,123,10,23,154,1,51
PhD,Married,55158.0,1,1,293,0,87,4,11,23,2,44
2n Cycle,Married,62972.0,0,1,313,15,47,20,0,192,1,59
Graduation,Married,74190.0,0,1,151,81,86,168,91,64,1,39
Graduation,Married,39356.0,1,1,15,0,2,0,0,6,2,38
Graduation,Together,76653.0,0,0,736,63,946,219,189,126,0,45
PhD,Divorced,35860.0,1,1,15,0,8,4,2,20,2,41
PhD,Divorced,90687.0,0,0,982,17,672,23,34,51,0,31
Master,Together,73450.0,0,0,1142,51,415,90,69,37,0,32
Graduation,Married,31454.0,1,1,28,0,11,0,0,9,2,54
Graduation,Single,47139.0,1,1,46,0,12,0,2,23,2,62
Graduation,Divorced,83829.0,0,0,897,161,430,186,161,27,0,39
PhD,Married,53378.0,1,1,489,6,152,8,6,132,2,51
Graduation,Together,19656.0,1,0,25,4,9,6,8,32,1,44
PhD,Married,45579.0,0,1,145,1,33,2,1,1,1,66
2n Cycle,Single,85485.0,0,0,630,26,611,44,18,54,0,56
Graduation,Married,55956.0,0,0,760,38,104,50,9,38,0,70
Master,Single,64191.0,0,1,420,15,186,151,38,15,1,51
Graduation,Single,38808.0,1,0,125,17,52,3,19,30,1,42
Master,Married,57183.0,1,1,464,5,64,7,0,70,2,48
Master,Divorced,23748.0,1,0,6,6,29,12,15,8,1,46
Graduation,Married,66303.0,0,1,1090,12,96,16,12,60,1,43
Master,Married,37368.0,1,0,3,2,11,2,2,10,1,39
Graduation,Married,40800.0,1,2,24,0,27,8,30,10,3,50
Graduation,Divorced,71847.0,0,0,737,21,106,55,63,210,0,36
Graduation,Married,46149.0,0,1,254,6,71,4,0,27,1,39
Graduation,Together,78687.0,0,0,817,185,687,145,55,241,0,31
2n Cycle,Divorced,49118.0,0,0,620,54,239,99,98,119,0,43
PhD,Married,37633.0,1,1,13,4,20,0,0,1,2,57
Master,Together,39767.0,0,0,113,61,204,34,26,47,0,63
